tokenID	talker	consonant	repetition	place	voicing	vowel	closureDur	closureInt	burstInt
292	4	p	3	bilabial	voiceless	u	0.126452231	61.27625664	71.12080036
293	2	b	4	bilabial	voiced	a	0.100851627	68.32734287	78.40844423
294	9	b	5	bilabial	voiced	u	0.054540723	68.39029923	69.71261262
295	12	k	1	velar	voiceless	u	0.054728162	55.75809363	55.42473557
296	12	b	6	bilabial	voiced	a	0.051793109	70.11872204	74.57892931
297	3	g	3	velar	voiced	u	0.060743256	69.52035963	72.08846667
298	5	t	5	alveolar	voiceless	i	0.063173765	51.85146618	54.13817243
299	1	k	2	velar	voiceless	u	0.12854423	62.65430986	67.05663964
300	2	d	4	alveolar	voiced	i	0.0943463	68.88511644	77.00676275
301	6	k	1	velar	voiceless	u	0.077957984	67.71963602	72.52205506
302	6	b	5	bilabial	voiced	u	0.054433697	70.4448937	68.44197169
303	5	p	5	bilabial	voiceless	a	0.110989857	65.94344253	75.51468475
304	5	g	2	velar	voiced	a	0.036932009	71.68428103	73.99354383
305	11	b	4	bilabial	voiced	i	0.082739671	70.37694802	76.50602305
306	4	b	1	bilabial	voiced	&	0.048162552	71.68889587	76.04006204
307	6	b	2	bilabial	voiced	i	0.077368104	67.92282893	64.93310503
308	8	d	2	alveolar	voiced	u	0.039592463	75.66193616	75.82748951
309	6	t	3	alveolar	voiceless	i	0.037534848	69.25607979	65.67336383
310	3	d	6	alveolar	voiced	u	0.044655407	72.79822625	79.36941338
311	4	d	2	alveolar	voiced	u	0.100560955	69.9531046	65.26567515
312	2	t	5	alveolar	voiceless	a	0.055755967	65.16089968	75.44233023
313	3	p	2	bilabial	voiceless	&	0.05304643	66.82906048	65.70812417
314	10	g	1	velar	voiced	i	0.074563679	67.76341145	69.02090083
315	9	k	1	velar	voiceless	a	0.050638843	63.31813764	54.73990812
316	8	d	3	alveolar	voiced	u	0.042390209	76.96118491	79.07804064
317	8	p	4	bilabial	voiceless	&	0.047462177	60.14191997	59.32720648
318	8	b	2	bilabial	voiced	&	0.050360823	70.09955722	76.10040509
319	3	g	1	velar	voiced	i	0.060184575	73.79876183	73.66128208
320	6	k	4	velar	voiceless	u	0.059872658	61.81334974	68.44612314
321	12	p	6	bilabial	voiceless	&	0.07185655	60.85154037	61.72415209
322	6	t	4	alveolar	voiceless	u	0.028044871	59.71297182	61.05457273
323	12	d	5	alveolar	voiced	a	0.012330625	73.81273065	75.51871656
324	8	b	6	bilabial	voiced	i	0.031468979	75.83816142	77.6024741
325	5	p	5	bilabial	voiceless	u	0.06129992	64.71323954	56.38276261
326	2	p	5	bilabial	voiceless	&	0.084461398	65.82920924	74.24712144
327	11	b	4	bilabial	voiced	i	0.060841688	72.44861677	74.27517214
328	5	g	3	velar	voiced	&	0.052896498	77.18435944	79.09049858
329	10	p	1	bilabial	voiceless	a	0.057312282	57.47259028	49.49163355
330	10	b	3	bilabial	voiced	a	0.053084913	63.5389444	69.86661521
331	12	t	4	alveolar	voiceless	a	0.050645271	57.69989656	60.60601442
332	12	k	3	velar	voiceless	a	0.058769487	62.8229815	56.00641855
333	11	d	5	alveolar	voiced	a	0.030165315	69.70477214	75.18937203
334	4	b	4	bilabial	voiced	&	0.020768175	78.30023704	78.84620931
335	11	b	4	bilabial	voiced	&	0.051233759	72.94662836	78.54598233
336	4	g	4	velar	voiced	&	0.047686058	78.05585625	80.27261293
337	1	k	4	velar	voiceless	u	0.135384118	65.70603106	66.78738476
338	11	k	4	velar	voiceless	&	0.060530716	53.49352745	63.38027822
339	11	g	6	velar	voiced	&	0.047604197	58.09097177	64.6277093
340	9	b	5	bilabial	voiced	u	0.048909453	69.18220141	75.12078446
341	9	d	2	alveolar	voiced	i	0.031448528	68.3919196	72.79061321
342	2	d	3	alveolar	voiced	&	0.05727211	72.02441991	76.58419711
343	3	g	6	velar	voiced	u	0.045412887	70.32351846	72.36080409
344	6	p	1	bilabial	voiceless	&	0.077415202	76.01716293	72.72016381
345	5	b	3	bilabial	voiced	u	0.069155215	73.811479	77.00219806
346	10	d	5	alveolar	voiced	u	0.026435904	67.66656798	68.48906628
347	1	p	1	bilabial	voiceless	i	0.143110749	70.44833568	73.94946957
348	4	d	6	alveolar	voiced	&	0.0436849	74.44799337	76.71385607
349	4	b	1	bilabial	voiced	u	0.07697322	74.90773838	76.50253066
350	11	d	2	alveolar	voiced	&	0.020839274	70.74592333	74.65447379
351	5	t	3	alveolar	voiceless	a	0.048864622	59.72552091	51.37710129
352	8	g	2	velar	voiced	&	0.025572905	64.07603277	55.43316127
353	5	d	4	alveolar	voiced	u	0.06294412	71.76203285	77.63939043
354	12	d	4	alveolar	voiced	i	0.03515881	70.64319989	75.02006355
355	1	k	2	velar	voiceless	a	0.12685001	60.10565021	66.44954835
356	1	p	4	bilabial	voiceless	i	0.145531408	66.9885358	77.70198126
357	10	p	2	bilabial	voiceless	a	0.077698225	57.90346856	56.24589779
358	12	d	3	alveolar	voiced	&	0.036939817	76.7315685	77.7704279
359	3	g	2	velar	voiced	&	0.030583474	70.37434388	73.56517181
360	1	d	1	alveolar	voiced	&	0.021494238	74.24205334	76.08607775
361	11	k	3	velar	voiceless	u	0.054598614	72.16209843	60.77870465
363	12	d	4	alveolar	voiced	&	0.025142934	70.2271077	74.3602786
364	2	d	6	alveolar	voiced	u	0.089055879	71.05809561	75.57354298
365	3	k	2	velar	voiceless	i	0.062085884	57.20517008	59.36330949
366	4	d	5	alveolar	voiced	i	0.043514735	72.96105843	76.78973162
367	5	g	2	velar	voiced	i	0.044381466	61.9928963	66.51493738
368	12	b	4	bilabial	voiced	a	0.033648512	72.19900843	74.65992959
369	3	d	3	alveolar	voiced	a	0.024048906	78.02647909	80.30268027
370	1	k	6	velar	voiceless	a	0.089891416	56.37277688	66.92379104
371	11	p	2	bilabial	voiceless	i	0.094048848	63.92744251	75.88417555
372	6	d	3	alveolar	voiced	i	0.053818472	69.53031311	66.07799256
373	4	t	4	alveolar	voiceless	u	0.024340896	69.03014228	52.75367266
374	8	g	5	velar	voiced	a	0.023841632	65.39273141	67.48157438
375	8	g	4	velar	voiced	i	0.048298176	79.10865763	80.89944304
376	2	k	1	velar	voiceless	u	0.096852792	62.26645954	59.15414511
377	10	b	1	bilabial	voiced	u	0.062283115	67.89069647	74.27377229
