time	distance	voltage
778	3	2.596283705
782	3	2.563784227
786	3	2.540829806
790	3	2.54405713
794	3	2.543035548
798	3	2.545484005
802	3	2.58725688
806	3	2.619613615
810	3	2.607802676
814	3	2.572929309
818	3	2.540116452
822	3	2.515433901
826	3	2.474272564
830	3	2.396764327
834	3	2.345660344
838	3	2.287851777
842	3	2.18496652
846	3	2.070487499
850	3	1.996228094
854	3	1.895160196
858	3	1.803142323
862	3	1.704936378
866	3	1.656835548
870	3	1.661089988
874	3	1.676794656
878	3	1.697326457
882	3	1.734109141
886	3	1.779049218
890	3	1.81872845
894	3	1.840685692
898	3	1.820703031
902	3	1.807201066
906	3	1.81009139
910	3	1.782042443
914	3	1.739520413
918	3	1.742635854
922	3	1.750187707
926	3	1.808362069
930	3	1.829365903
934	3	1.796687312
938	3	1.854202669
942	3	1.913591931
946	3	1.886841599
950	3	1.844208207
954	3	1.777859696
958	3	1.728416207
962	3	1.702597487
966	3	1.652531339
970	3	1.588522347
974	3	1.566071408
978	3	1.569497862
982	3	1.547751051
986	3	1.546043181
990	3	1.54991963
994	3	1.555312827
998	3	1.572091222
-190	4	0.05498429
-186	4	0.062806337
-182	4	0.037923889
-178	4	0.064885576
-174	4	0.103667708
-170	4	0.118175677
-166	4	0.130319346
-162	4	0.11852961
-158	4	0.105008925
-154	4	0.140559741
-150	4	0.140750486
-146	4	0.089124623
-142	4	0.054881456
-138	4	0.031191486
-134	4	0.030212519
-130	4	0.055696582
-126	4	0.070873603
-122	4	0.061524704
-118	4	0.069374633
-114	4	0.044085034
-110	4	0.037967949
-106	4	0.049176007
-102	4	0.007026801
-98	4	-0.036291588
-94	4	-0.027463288
-90	4	0.026639366
-86	4	0.047387776
-82	4	0.040583809
-78	4	0.065055498
-74	4	0.13306096
-70	4	0.200256537
-66	4	0.20554641
-62	4	0.163623476
-58	4	0.155221402
-54	4	0.131813948
-50	4	0.047644972
-46	4	-0.025024663
-42	4	-0.099612462
-38	4	-0.130396104
-34	4	-0.146245173
-30	4	-0.163160843
-26	4	-0.216725775
-22	4	-0.270589977
-18	4	-0.300847551
-14	4	-0.325800972
-10	4	-0.334226321
-6	4	-0.344158604
-2	4	-0.324438483
2	4	-0.230549019
6	4	-0.098816764
10	4	-0.018994598
14	4	0.064609507
18	4	0.187264713
22	4	0.323718882
26	4	0.419562604
30	4	0.445570274
34	4	0.441268497
38	4	0.415528941
42	4	0.343322108
46	4	0.211325713
50	4	0.041861304
54	4	-0.154739206
58	4	-0.380096365
62	4	-0.633911511
66	4	-0.925504212
70	4	-1.248347374
74	4	-1.640158527
78	4	-2.068485879
